KIC,Period LS,Period Paper
3118654,15.9,15.6
2718678,25.3,24.5
4473226,15.5,15.3
5084157,22.0,22.3
5184732,22.4,19.8
5288041,13.7,26.7
5391708,10.9,10.7
5472881,6.6,6.5
5523571,19.2,19.4
6124396,12.8,26.5
6143331,12.0,11.9
6585303,22.8,14.8
6605816,87.3,24.0
6699374,18.7,18.3
6836470,23.6,24.9
6935009,8.5,16.0
7020726,12.0,23.5
7120347,21.4,20.9
7191494,15.0,14.5
7741311,12.7,22.9
7940428,13.3,14.1
8017116,10.3,20.8
8046864,10.5,10.5
8298626,22.4,21.5
8379927,17.4,17.0
8428737,22.6,22.7
8690294,22.7,20.5
9028802,12.7,24.9
9766237,14.2,13.5
9944137,12.8,12.6
2309595,25.3,24.8
3632418,12.6,12.9
3656476,36.5,16.7
3661135,22.9,18.2
4446300,17.0,47.1
4577484,12.0,23.8
5265656,82.7,73.4
6287060,15.6,29.4
6363365,8.9,8.8
6593461,52.2,24.6
6933899,31.0,29.3
7019341,24.3,32.5
7296438,25.7,25.2
7611858,12.9,23.6
7680114,27.7,26.2
7747078,18.8,17.7
7870112,63.8,35.9
8524425,23.1,42.0
8677016,14.8,13.2
8702606,23.4,39.0
9394953,18.5,24.7
