,KIC,Period Article,Period
0,757099,0.4,0.4
1,3338421,4.8,2.3
2,3437548,1.8,1.8
3,3529147,14.2,14.4
4,3869891,23.0,11.2
5,4158803,14.1,13.9
6,4242173,14.1,14.5
7,4356698,23.3,23.3
8,4372541,5.9,5.9
9,4459394,9.0,4.5
10,4548654,19.3,9.8
11,4567165,10.1,10.1
12,4571573,16.7,8.5
13,4636995,21.0,19.0
14,4648919,0.6,0.6
15,4764033,25.1,25.9
16,4820062,23.1,23.3
17,4841110,20.2,17.1
18,4846450,10.9,10.9
19,4850488,8.8,9.1
20,4861991,7.6,7.6
21,4916165,32.4,16.2
22,4930802,16.9,15.7
23,4989977,11.9,11.8
24,5040480,8.3,8.3
25,5120654,25.1,27.1
26,5127513,12.6,12.9
27,5221138,19.7,20.0
28,5271947,40.1,19.6
29,5282313,37.5,38.1
30,5344211,28.5,29.7
31,5353874,21.0,21.4
32,5374789,3.8,3.9
33,5385647,15.9,16.0
34,5395681,61.4,19.5
35,5430087,13.5,13.9
36,5438471,25.9,13.2
37,5450769,22.2,22.6
38,5462311,18.9,17.5
39,5524851,6.9,6.9
40,5568259,14.4,13.5
41,5598173,29.6,28.2
42,5637994,3.7,3.7
43,5698325,17.6,21.8
44,5715686,9.3,9.8
45,5783428,22.9,23.1
46,5788648,9.2,9.2
47,5822286,5.6,5.6
48,6182131,8.0,7.9
49,6182700,12.3,12.4
50,6184293,15.5,14.7
51,6204684,22.9,11.9
52,6211942,24.3,12.1
53,6222407,18.5,9.5
54,6384035,4.2,2.1
55,6425088,11.0,11.4
56,6504503,29.9,30.9
57,6548359,5.4,5.2
58,6609683,22.3,11.1
59,6868860,21.2,21.4
60,6950934,10.9,10.8
61,6964343,21.9,11.1
62,7185607,27.8,27.9
63,7297647,13.3,12.7
64,7341020,6.9,6.8
65,7373483,9.7,9.9
66,7548035,4.9,4.9
67,7677340,11.3,11.5
68,7699242,16.9,17.3
69,7732139,15.7,16.7
70,7765135,2.5,2.5
71,7820558,10.0,10.0
72,7820702,21.8,21.9
73,7840145,6.4,6.3
74,7908531,15.8,15.9
75,8029079,28.0,25.5
76,8041971,17.9,18.0
77,8053926,47.1,23.2
78,8054838,14.2,14.0
79,8126029,27.1,13.5
80,8154444,26.7,25.8
81,8163528,21.0,20.9
82,8179635,15.7,15.0
83,8249914,13.2,11.7
84,8442985,26.0,13.1
85,8456181,19.5,19.6
86,8524904,15.8,15.9
87,8581545,4.9,4.9
88,8591667,39.3,39.7
89,8637151,11.2,11.1
90,8647149,10.8,10.9
91,8656361,5.2,5.1
92,9051723,0.2,0.2
93,9094773,10.3,10.2
94,9107602,12.0,12.0
95,9118981,1.5,1.5
96,9142010,15.2,7.6
97,9183522,20.1,9.9
98,9334867,15.3,15.3
99,9335664,11.2,11.2
100,9418746,12.6,12.6
101,9492028,11.4,11.5
102,9513745,22.7,22.8
103,9533353,26.5,13.2
104,9595994,22.0,21.1
105,9603445,3.6,3.6
106,9663141,19.7,19.5
107,9776327,10.7,10.7
108,9784166,12.0,12.1
109,9963635,36.0,35.8
110,9964492,24.1,12.1
111,10063527,21.8,21.7
112,10145773,8.5,8.5
113,10229329,24.4,24.1
114,10351715,5.8,5.8
115,10354861,46.1,46.1
116,10355387,24.0,24.2
117,10514649,24.2,23.9
118,10580913,16.8,17.4
119,10594040,5.5,5.5
120,10802368,11.9,11.7
121,10802826,14.7,14.7
122,10854941,50.8,16.8
123,10979139,5.8,5.9
124,11075222,18.3,18.6
125,11128070,12.8,12.9
126,11135880,0.4,0.2
127,11389437,12.3,12.4
128,11564870,5.5,5.4
129,11571404,16.2,16.4
130,11616117,26.6,25.2
131,11649990,2.0,2.0
132,11661685,20.6,21.2
133,11753179,17.2,17.5
134,11913722,19.5,19.6
135,11958479,10.1,10.0
136,12152537,14.9,14.9
137,12156742,7.9,8.0
138,12218727,0.5,89.3
139,12884118,14.0,13.9
